,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
1713,3 Bedroom House and Lot Unit for Sale in Carmona Estates (Linden),2.0,3.0,,52.0,174.0,Carmona Estates,,,,5918274
1714,"Foreclosed Property for Sale in Block 4, Lot 12 La Residencia, Brgy. Sta. Filomena Arevalo,  Liloan, Cebu",,,,90.56,130.0,,,,,4430000
1715,GAIA 2-Storey Single Detached (Corner) for Sale in Idesia Dasmariñas Phase 2,2.0,3.0,,63.0,187.0,Idesia Dasmariñas Phase 2,,2019.0,,6900000
1716,"ARIA RFO Townhouse for Sale in Idesia Dasmariñas Ph1, Special Discount 269K -Blk10 Lot61",1.0,2.0,,42.0,60.0,Idesia Dasmariñas Phase 1,Blk 10 Lot 61,,,2239999
1717,"Foreclosed Property for Sale in Block 9A, Lot 4,Via Veneto St Ponticelli Gardens Brgy Molino 3 Bacoor Cavite",,,,190.0,195.0,,,,,19052050
1718,"Foreclosed Property for Sale in Block 3, Lot 6,Road Lot 4 Valenza Subdivision Brgy Sto Domingo Sta.Rosa Laguna",,,,105.0,110.0,,,,,9300000
1719,"Foreclosed Property for Sale in Block 3, Lot 7 Belmont St., Victorianne New, La Posada Vill., Brittany Bay, Brgy. Sucat, Muntinlupa City",,,,177.0,89.0,,,,,14250000
1720,DANA RFO Single at Camella Sta.Maria  Bulacan ,3.0,4.0,,85.0,99.0,Camella,Blk 9 lot 9,,,5970400
1721,2 Bedroom House and Lot (End Corner) at Phirst Park Homes Calamba,1.0,2.0,,40.0,135.0,Phirst Park Homes Calamba,,,,4025854
1722,brand new ready for occupancy gaia house and lot in idesia dasmarinas,2.0,3.0,,63.0,100.0,,,,,6537147
1723,"2-Storey Zen Type House for Sale in Ayala Sonera, Southvale Las Piñas",7.0,4.0,4.0,400.0,353.0,Ayala Southvale Sonera,,2021.0,4.0,64000000
1724,newly renovated attractive modern bungalow house and lot for sale,2.0,3.0,2.0,170.0,219.0,BF Homes Parañaque,14/14,2021.0,3.0,17300000
1725,3 Bedroom House and Lot Unit for sale at Camella Calamba (Cara Model),2.0,3.0,,66.0,99.0,Camella Calamba,,,,5179000
1726,Spacious Modern 2 Storey House And Lot For Sale In Bf Resort Village Las Piñas,4.0,3.0,2.0,241.0,161.0,BF Resort Village,,2021.0,3.0,15300000
1727,"5 Bedroom House For Sale at Multinational Village, Parañaque",5.0,5.0,5.0,600.0,709.0,Multinational Village,,1987.0,,65000000
1728,"For Sale 5 Bedrooms Townhouse Kapitolyo, Pasig City, Metro Manila",5.0,5.0,4.0,350.0,119.0,,,,,35000000
1729,"L-R-1-878- Acquired Property for Sale in Lot 14, Block 9, Lessandra Sorrento, Brgy. Panipuan, Mexico, Pampanga - Retail",,,,37.0,72.0,,,,,1334200
1730,"Chopin 3BR SA House for Sale at Forest Farms The Grove in Angono, Rizal | Aspire by Filinvest",2.0,3.0,,113.0,280.0,Forest Farms The Grove,Chopin (SA),,,10900000
1731,Versailles House And Lot For Sale Near Mcx And Slex,4.0,5.0,4.0,368.0,398.0,VERSAILLES,8/784,2021.0,5.0,40000000
1732,Pre-selling House and Lot  Tahanan Village BF Homes Parañaque,5.0,5.0,3.0,375.0,280.0,BF Homes,3/14,2023.0,5.0,42500000
1733,3 Bedroom (Amanda-End) Townhouse for sale at Hamilton Executive Residences,2.0,3.0,,67.0,80.0,Hamilton Executive Residences,,,,6296400
1734,Spacious Modern Design 2 Storey Single Attached House and Lot in Bf Resort Vill.,4.0,5.0,2.0,255.0,188.0,BF Resort Village,,2021.0,5.0,23000000
1735,elegantly finished ready for occupancy single detached house in cittadella exe.,4.0,4.0,2.0,221.0,200.0,cittadella,98/15,2021.0,4.0,21300000
1736,"L-R-1-436- Acquired Property for Sale in Lot 11, Block 2, Road Lot K (Road Lot 1), Victoria Subdivision, Brgy. De La Paz, Bi",,,,337.7,289.0,,,,,4600000
1737,4BR Townhouse Unit for Sale in Mandaluyong City - DS881855 ,4.0,4.0,4.0,376.5,117.15,,,,,45000000
1738,"MSG-22-0181: Foreclosed House and Lot for Sale in Buenavista I, General Trias",,,,225.0,240.0,,,,,5500000
1739,Pre selling: House and Lot  Tahanan Village BF Homes Parañaque,5.0,5.0,3.0,375.0,280.0,BF HOMES,14/12,2023.0,5.0,42500000
1740,"L-TH-1-166- Acquired Property for Sale in Lot 3, Block 2, Dalia St., Marian Heights Subdivision, Brgy. Kayumanggi, Lipa City, Batangas",,,,53.0,38.0,,,,,1275638
1741,"V-R-2-41- Acquired Property for Sale in Lots 25 & 26, Block 4, Charito Heights Subdivision, Brgy. Granada, Bacolod City, Negros Occidental - Retail",,,,161.0,160.0,,,,,2080000
1742,"Foreclosed Property for Sale in Lots 7193-A-8-B & 7193-A-8-C & 7193-A-8-D,Evan Road Madayag Subdivision Brgy Visayan Vilalge  Tagum City",,,,253.0,756.0,,,,,7290000
1743,"L-R-1-799- Acquired Property for Sale in Lot 32, Block 1-A, Verde Heights Subdivision, Brgy. Gaya-Gaya, San Jose Del Monte, Bulacan - Retail",,,,285.0,100.0,,,,,4675500
1744,"M-R-3-355- Acquired Property for Sale in Parking Slot No. 19, Basement 2, Westgate Tower Condominium, Investment Dr., Madrigal Business Park, Brgy. Alabang, Muntinlupa (Available also for Lea",,,,12.5,,,,,,500000
1745,"L-S-1-201604-73- Acquired Property for Sale in Phase 4, Block 19, Lots 30 & 32, Tierra Nevada, Brgy. San Francisco, General Trias, Cavite",,,,181.0,259.0,,,,,6108685
1746,5 bedroom Townhouse House and Lot in Quezon City Tandang Sora and Commonwealth,4.0,5.0,2.0,185.0,78.0,Tandang Sora,Blk 1 Lot 1,2021.0,,11500000
1747,"Foreclosed Property for Sale in Block 2, Lot 39 Lessandra 2 Subd.,  Brgy. Buhay Na Tubig, Imus City, Cavite",,,,46.0,44.0,,,,,2020000
1748,"L-R-1-848- Acquired Property for Sale in Lot 3 Block 7, Lessandra Sorrento, Phase I, Brgy. Panipuan, Mexico, Pampanga - Retail",,,,46.0,66.0,,,,,1396000
1749,"Foreclosed Property for Sale in Block 13, Lot 39, Carmel Village Phase 2 Brgy Majada And Brgy Barandal Calamba City Laguna",,,,48.0,80.0,,,,,1477300
1750,"L-IND-1-12 - Acquired Property for Sale in Lot 1726-C-5-T, National Highway, Brgy. Raniag, Ramon, Isabela",,,,1200.0,41321.0,,,,,82882000
1751,"Foreclosed Property for Sale in Block 25, Lot 38 Inside Bellevue Subdivision, Brgy. Upper Carmen,  Cagayan De Oro City, Misamis Oriental",,,,80.0,154.0,,,,,3480000
1752,"L-R-1-836- Acquired Property for Sale in Lot 14, Block 3, Road Lot 5, Milaflor Subd., Brgy. Burol 1, Balagtas, Bulacan - Retail",,,,276.0,342.0,,,,,8214200
1753,"L-TH-1-200 - Acquired Property for Sale in Lot 19, Block 21, Pcs-01-005504, Road Lot 21, Camella Heights of Wedgewood, Brgy. Minien West, Sta. Barbara, Pangasinan",,,,39.0,103.0,,,,,1689800
1754,"Foreclosed Property for Sale in Block 6, Lot 15 & 16 No. 486, Eucalyptus Street, Retirees Village 3, Barangay Timalan-Concepcion, Municipality Of Naic, Province Of Cavite",,,,610.05,1841.0,,,,,13982000
1755,"Foreclosed Property for Sale in Block 2, Lot 1 Guardian St. Cor Unnamed Rd, Kasama, Vill., Brgy. Daliao, Toril Dist. Davao City",,,,166.0,115.0,,,,,3750000
1756,Amber 2BR Duplex House for Sale at Futura Homes Koronadal in South Cotabato | Futura by Filinvest,1.0,2.0,,40.31,83.0,Futura Homes Koronadal,Amber Duplex - Modern Minimalist,,,2029068
1757,"Foreclosed Property for Sale in Block 4, Lot 2 Kalayaan Avenue, Calmar Homes Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon Province",,,,270.0,120.0,,,,,4114250
1758,"L-S-1-201604-75- Acquired Property for Sale in Block 6, Lot 21, Lancaster Village, Lancaster New City, Brgy. Alapan 2A, Imus, Cavite",,,,78.0,85.0,,,,,3168020
1759,"L-R-1-1123- Acquired Property for Sale in Lot 27, Block 45, Naning St., Calmar Homes Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon",,,,45.0,60.0,Calmar Homes Subdivision,"Lot 27, Block 45",,,876000
1760,"P500 2BR Townhouse for Sale at Austine Homes in Mabalacat, Pampanga | Futura by Filinvest",1.0,2.0,,38.88,43.2,Austine Homes,P500 Townhouse,,,1700000
1761,"L-R-1-24- Acquired Property for Sale in Lots 3 & 4, Block 3, Sapphire Homes, Brgy. San Jose, Plaridel, Bulacan - Retail",,,,175.0,245.0,,,,,3920000
1762,"M-R-1-132- Acquired Property for Sale in Lot 18-A, Block 1, (PSD-00-076357), Federal St., Violago Homes, Brgy. Bagong Silangan, Quezon City - Retail",,,,112.6,85.0,,,,,3952000
1763,"Foreclose Property  for Sale in Lot 10, Block 19, Malaga Street, Cerritos Heights Phase 1, Barangay Molino  Iv, Bacoor City, Cavite ",,,,65.0,88.0,,,,,4485000
1764,"ARIA RFO Townhouse for Sale in Idesia Dasmariñas Ph1, Special Discount 269K -Blk10 Lot17",1.0,2.0,,42.0,60.0,Idesia Dasmariñas Phase 1,Blk 10 Lot 17,,,2239999
1765,"L-R-1-951 - Acquired Property for Sale in Lot 2, Block 8, Opal St., Taglesville Subdivsion, Brgy. San Jose / Tenejero, Balanga City, Bataan",,,,275.0,250.0,,,,,6172500
1766,"Foreclosed Property for Sale in Block 6, Lot 4 Banaba Street, Gatchalian Subd., Brgy. Manuyo Dos Las Piñas City",,,,94.0,216.0,,,,,8200000
1767,East-facing morning sun house and lot for sale in bf homes parañaque,5.0,4.0,4.0,350.0,304.0,BF Homes Parañaque,3/3,2021.0,4.0,32800000
1768,Duplex 4 Bedrooms house and lot for sale in BF homes Parañaque,4.0,4.0,2.0,200.0,140.0,BF Homes Parañaque,152,2021.0,4.0,13900000
1769,Two Storey Brand New House in BF Homes ,4.0,5.0,4.0,450.0,340.0,BF Homes,14/7,2022.0,5.0,41500000
1770,Two Storey Brand New House in BF Homes ,4.0,5.0,4.0,450.0,340.0,BF Homes,10/14,2022.0,5.0,41500000
1771,"Flexi Home Inner A for Sale in SMDC Cheerful Homes, Mabalacat City, Pampanga",1.0,1.0,,32.5,,Cheerful Homes,,,,1600000
1772,"4 Bedroom House & Lot Unit for Sale at Sabella in Gen. Trias, Cavite (Callista)",2.0,4.0,,81.0,100.0,Sabella,,,,4449603
1773,Don Antonio Commonwealth Quezon City Townhouse,6.0,6.0,3.0,330.0,122.15,,,,,24500000
1774,Two Storey Brand New House in BF Homes ,4.0,5.0,4.0,450.0,340.0,BF HOMES,12/1,2022.0,5.0,41500000
1775,brand new duplex house and lot with spacious rooms in betterliving Parañaque,4.0,4.0,2.0,180.0,140.0,Better Living Subdivision,31,2021.0,4.0,14000000
1776,"RFO 2-Storey Townhouse For Sale in Brgy. Soro-soro, Biñan, Laguna",1.0,2.0,,81.0,53.0,Vista Rosa,Block 2A Lot 1,2022.0,2.0,3315200
1777,RFO House units in Biñan laguna for Sale,1.0,2.0,,76.0,51.0,Vista Rosa,Block 2a-3,,,2913000
1778,"Brand New Townhouse For Sale In Las Piñas 15mins To Naia Terminal 1,2 And 3",3.0,4.0,1.0,99.0,52.0,,711,2020.0,4.0,6700000
1779,"L-R-1-910- Acquired Property for Sale in Lot 43, Block 8, Galceti Street, Camella Quezon, Brgy. Isabang, Tayabas City, Quezon",,,,48.0,80.0,Camella Quezon,,,,1699200
1780,"For Sale Sophisticated Modern Duplex House and Lot in Mikeselle, Las Piñas",3.0,4.0,1.0,190.0,75.0,Mikeselle,30/35,,,8288000
1781,For Sale Spacious 3 Storey Townhouse in Multinational Village Parañaque City,4.0,4.0,2.0,209.0,93.5,Multinational Village,Block 19 Lot 28,2022.0,4.0,16800000
1782,"Rent-to-own 2 Bedroom House and Lot for Sale in Lapu-Lapu City, Cebu",2.0,2.0,,75.0,40.0,Turnberry Place 1,,,,4100000
1783,4BR Residential Townhouse for Sale in Mandaluyong City - DS881853,4.0,4.0,4.0,355.33,91.0,,,,,39500000
1784,Ayala Sonera Southvale|HighEnd 2-Storey House&Lot for Sale in Las Piñas-DS882747,7.0,4.0,4.0,400.0,353.0,Ayala Southvale Sonera,,,,64000000
1785,Vista Verde Executive Village|4BR Charming House&Lot For Sale in Cainta-DE882190,5.0,4.0,6.0,720.0,840.0,Vista Verde Executive Village - Cainta,,,,29000000
1786,"Lindenwood Residences 3-Storey Modern House for Sale Tunasan, Muntinlupa",,7.0,,700.0,460.0,Lindenwood Residences Subdivision,,,,52500000
1787,For Sale Spacious Modern Design 3 Storey’s Triplex House in San Antonio Valley 1,3.0,4.0,1.0,130.0,60.0,San Antonio Valley 17 Village,Block 8 Lot 25,2022.0,4.0,6528000
1788,"For Sale 2-Storey Single Attached | 3BR | House and Lot in Tanza, Cavite",2.0,3.0,1.0,112.5,72.0,Las Brisas at Tierra del Sol,,,,4337472
1789,"M-R-3-864- Acquired Property for Sale in Unit 36F, 36/F, Da Vinci Wing, Grand Eastwood Palazzo Residences, Eastwood Ave., cor. Orchard Rd., Eastwood City Cyberpark, Bagumbayan, Quezon City -",,,,50.0,,,,,,4500000
1790,5BR House for Sale in Merville Park Subdivision,4.0,5.0,,400.0,500.0,Merville Park Subdivision,,,,45000000
1791,"Two-story House and Lot for Sale in Col. Bonny Serrano Ave., Quezon City",4.0,5.0,,219.0,200.0,,,,,35000000
1792,"2 Bedroom House and Lot at Lessandra Cielo in San Jose del Monte, Bulacan",1.0,2.0,,40.0,64.0,Lessandra Cielo,,,,3481000
1793,"3 Bedroom Single Attached House at Elisa Homes in Bacoor, Cavite (Pearl Model)",2.0,3.0,,42.4,48.0,Elisa Homes,,,,6631632
1794,"3 Bedroom Single Detached House at Elisa Homes in Bacoor,Cavite (Sapphire Model)",2.0,3.0,,76.0,120.0,Elisa Homes,,,,6665440
1795,"3 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Cara)",2.0,3.0,,66.0,88.0,Camella Monticello,,,,5078000
1796,2 Bedrooms House and Lot at Camella Lessandra Calamba (Criselle Model),1.0,2.0,,40.0,60.0,Camella Lessandra Calamba,,,,2867000
1797,"L-R-1-874- Acquired Property for Sale in Lot 31, Block 3, Garnet St., Santis Ville 1, Brgy. Salian / Capitagan, Abucay, Bataan - Retail",,,,169.0,184.0,,,,,3892500
1798,Amber Single 2BR House for Sale at Futura Homes Koronadal in South Cotabato | Futura by Filinvest,1.0,2.0,,40.31,84.0,Futura Homes Koronadal,Amber Single Modern Minimalist (Bare Finish),,,2358695
1799,"Molave-MR 1BR House for Sale at Aldea Real in Ciudad de Calamba, Laguna | Futura by Filinvest",1.0,1.0,,35.8,100.0,Aldea Real,Molave-MR House Model,,,3070000
1800,"Foreclosed Property for Sale in Block 2, Lot 35, Eastwood Greenview Subd Phase 4B Brgy Isidro Rodriguez Rizal",,,,153.0,112.0,,,,,3991000
1801,"Foreclosed Property for Sale in Block 25, Lot 20 Inside Camella Toscana Subdivision, Brgy. Puan, Talomo, Tangub, Bacolod City",,,,65.0,120.0,,,,,3055000
1802,"Foreclosed Property for Sale in Block 18, Lot 28 Toledo Cor. Ventura Sts., Camella Villa Lessandra, Ph. 2, Brgy. Salinas, Bacoor City, Cavite",,,,41.0,92.0,,,,,3810000
1803,Molave 2BR SD House for Sale at Somerset Lane in Tarlac City | Aspire by Filinvest,1.0,2.0,1.0,39.64,100.0,Somerset Lane,,,,3284400
1804,"Foreclosed Property for Sale in Lot 3-B No.270 ,Joy St Catherine Vill Brgy San Isidro  Parañaque City",,,,75.0,110.0,,,,,5060000
1805,"Elisa SA 2BR House for Sale at Futura Homes Palm Estates in Talisay, Negros Occ. | Futura by Filinvest",1.0,2.0,,34.2,84.0,Futura Homes Palm Estates,Elisa Single Attached - Modern Minimalist,,,1603379
1806,,,,,,,,,,,
1807,"L-R-1-504- Acquired Property for Sale in Lots 12, 13 and 14, Block 8, Winlow St., Southview Homes Subdivision, Pacita Complex II, Brgy. San Vicente, San Pedro City, Laguna - Retail",,,,392.68,285.0,,,,,6600000
1808,"V-R-2-97 - Acquired Property for Sale in Lot 2, Block 14, Road Lot 12 corner Road Lot 3, Jewels of Glades, Savannah Subdivision, Brgy. Abilay Norte / Pulo Maestra Vita, Oton, Iloilo",,,,209.0,271.0,,,,,8682800
1809,"V-TH-1-14: Acquired Property  for Sale in Lot 3, Block 1, Greensville Subdivision, Phase III, Brgy. Villamonte, Bacolod City, Negros Occidental",,,,254.0,291.0,"Greensville Subdivision,","Lot 3, Block 1",,,4731600
1810,"Foreclosed Property for Sale in Block 6, Lot 2 , 4 & 6, Remedios Country Homes Brgy Bubukal Sta Cruz Laguna",,,,290.0,325.0,,,,,4650000
1811,"L-R-1-1055- Acquired Property for Sale in, Lot 10, Block 3, Camella Tarlac, Phase 3, Brgy. Maliwalo, Tarlac City, Tarlac",,,,93.0,121.0,,,,,3312000
1812,"L-R-1-563- Acquired Property for Sale in Lot 1030-C-3, Brgy. San Roque, La Paz, Tarlac - Retail",,,,115.0,288.0,,,,,990000
1813,"Foreclosed Property for Sale in Block 27, Lot 14, Carmel Village Phase 1-A Brgy Majada Calamba City Laguna",,,,48.0,80.0,,,,,1477300
1814,"L-R-1-730- Acquired Property for Sale in Lot 8, Block 4, Road Lot 4 corner Road Lot 6, Rolinida Village, Brgy. Balayong, Bauan, Batangas - Retail",,,,242.6,192.0,,,,,3674000
1815,"TALIA 2-Storey Single Attached (Regular) for Sale in Idesia Lipa, Batangas",1.0,2.0,,52.25,80.0,Idesia Lipa,,2020.0,,4600000
1816,"L-S-5-201604-19- Acquired Property for Sale in Block 6, Lot 12, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",,,,60.0,50.0,Kensington Village,,,,2081500
1817,"L-R-1-934- Acquired Property for Sale in Lot 25, Block 8, East Grove Subdivision at Metropolis Lucena, Phase 3, Brgy. Kanlurang Mayao, Lucena City, Quezon",,,,78.0,130.0,,,,,2717000
1818,"N-R-3-2- Acquired Property for Sale in Unit 212, Building A, Linmar Tower, Porras St., Brgy. 15, Poblacion, Davao City, Davao del Sur - Retail",,,,71.39,,,,,,4997300
1819,"L-R-1-1084 Acquired Property for Sale in Lot 2, Block 8, Road Lot 7, Camella Pampanga, Phase 1A, Brgy. Sta. Cruz, Porac, Pampanga",,,,109.0,110.0,,,,,3530700
1820,"M-R-3-264- Acquired Property for Sale in Unit E19, 5/F, Building 3, Waterfun Condominium, West Service Road, Brgy. Sucat, Muntinlupa City - Sub",,,,37.26,,,,,,642735
1821,2-Storey Extravagant Modern House and Lot For Sale in Bf Homes Parañaque City,4.0,4.0,2.0,330.0,280.0,BF Homes,,2021.0,4.0,29500000
1822,1 bathroom 2 bedrooms Townhouse For Sale in Biñan,1.0,2.0,,64.0,51.0,vista rosa extension,Block 2a Lot 3,,,3150560
1823,brand new modern design with swimming pool single house and lot in merville,4.0,5.0,2.0,446.0,269.0,MERVILLE,7/8,2021.0,5.0,48000000
1824,"2 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (Inner)",1.0,2.0,,61.0,70.0,Celestis 1,,,,4688352
1825,3 Bedroom (Amanda-Corner) Townhouse for sale at Hamilton Executive Residences,2.0,3.0,,68.1,91.0,Hamilton Executive Residences,,,,6831000
1826,Modern Design Single Attached House & Lot For Sale in Betterliving Parañaque,5.0,5.0,2.0,350.0,263.0,Better Living Subdivision,25,2020.0,5.0,23500000
1827,"House & Lot For Sale In Bf Homes, Paranaque City",4.0,4.0,,230.0,243.0,BF Homes,,,,34000000
1828,2 Bedroom House and Lot (MId) at Phirst Park Homes Calamba,1.0,2.0,,40.0,48.0,Phirst Park Homes Calamba,,,,2113127
1829,"5BR House for Sale in Ayala Alabang Village, Muntinlupa - RS4430182",5.0,5.0,4.0,675.0,555.0,,,,,200000000
1830,"Vista Verde Executive Village 4BR Impressive House For Sale in Cainta, Rizal ",5.0,4.0,2.0,720.0,840.0,Vista Verde Executive Village - Cainta,,,,29000000
1831,"Vista Verde 4Bedroom House & Lot For Sale with Pool in Cainta, Rizal-DE882190",4.0,4.0,6.0,720.0,840.0,Vista Verde Executive Village - Cainta,,,,29000000
1832,"Modern Design Duplex House and Lot For Sale in United Nation, Parañaque",3.0,4.0,2.0,180.0,132.0,Better Living,35,2022.0,3.0,14000000
1833,2-Storey Extravagant Modern House and Lot For Sale in Bf Homes Parañaque City,4.0,4.0,2.0,330.0,280.0,BF Homes,,2021.0,4.0,29500000
1834,"5BR House for Sale in Ayala Alabang Village, Muntinlupa - RS4430182",5.0,5.0,4.0,675.0,555.0,,,,,200000000
1835,1 bathroom 2 bedrooms Townhouse For Sale in Biñan,1.0,2.0,,64.0,51.0,vista rosa extension,Block 2a Lot 3,,,3150560
1836,mediterranean house in versailles daang hari alabang near fortofino,3.0,3.0,4.0,243.0,240.0,VERSAILLES RESIDENCES,2/3,2022.0,5.0,33890000
1837,Spacious Brand New Triplex House For Sale In BF Resort Village Las Piñas,3.0,3.0,2.0,197.0,120.0,BF Resort Village,,2021.0,3.0,10200000
1838,East greenhills 600sqm lot with house for sale,5.0,5.0,,1200.0,600.0,EAST GREENHILLS,,,,180000000
1839,CARA RFO Single Attached Single Family House for SaleCamella Sta. Maria Bulacan ,2.0,3.0,,66.0,110.0,Camella,Blk 9 lot 29,,,5661000
1840,"Woodberry Drive 3 Bedroom House For Sale in Banawa, Cebu City",2.0,3.0,3.0,145.0,187.0,Woodberry Drive,1,,,13000000
1841,"L-R-1-757- Acquired Property for Sale in Lots 1&2, Block 44, San Lorenzo Road corner Road Lot 26 & 35, San Lorenzo South Subdivision, Phase 1, Brgy. Malitlit, Sta. Rosa City, Laguna - Retail",,,,664.61,394.0,,,,,11000000
1842,3 Bedrooms For Sale!!!in Antipolo.near Robinson and Antipolo church..RFO,2.0,3.0,2.0,89.0,90.0,,block 8 lot 8,2018.0,3.0,5200000
1843,"2 Bedroom House and Lot at Lessandra Monticello in San Jose del Monte, Bulacan",1.0,2.0,,46.0,63.0,Lessandra Monticello,,,,3109000
1844,"2 Bedroom House and Lot at Lessandra Cielo in San Jose del Monte, Bulacan",1.0,2.0,,40.0,60.0,Lessandra Cielo,,,,3272000
1845,"150sqm Lot Customized Single Detached House and Lot For Sale in Greenview, Q.C",4.0,5.0,2.0,100.0,150.0,Greenview Executive Village,lot 10 blk 9,2022.0,5.0,10400000
1846,"Taipan 2BR Shop House for Sale at Asenso Village in Ciudad de Calamba, Laguna | Aspire by Filinvest",1.0,2.0,3.0,121.0,267.0,Asenso Village,Taipan Shop House,,,9210000
1847,"L-R-1-602- Acquired Property for Sale in Lot 11-C, I.B. Jurado St., Brgy. Centro I / Zinundungan, Lasam, Cagayan - Retail",,,,146.0,1250.0,,,,,3150900
1848,2 Bedrooms House and Lot at Camella Lessandra Calamba (Frielle Model),1.0,2.0,,50.0,65.0,Camella Lessandra Calamba,,,,3388000
1849,"Foreclosed Property for Sale in Block 5, Lot 2, Eastwood Greenview Subd Phase 1 Brgy Isidro Rodriguez Rizal",,,,252.0,167.0,,,,,6270000
1850,"Foreclosed Property for Sale in Block 14, Lot 36 Salinas St., Villa Lessandra 2-Expansion, Brgy. Salinas, Bacoor City, Cavite",,,,43.0,44.0,,,,,1694000
1851,"L-TH-1-167- Acquired Property for Sale in Lot 5 (PCS-04-025023), Block 2, Dalia St., Marian Heights Subdivision, Brgy. Kayumanggi, Lipa City, Batangas",,,,53.22,39.0,,,,,1284138
1852,"L-R-1-384- Acquired Property for Sale in Lot 20, Block 7, Road Lot 7, AMA Subdivision, Brgy. Wawa, Lumban, Laguna - Retail",,,,90.2,60.0,,,,,1803200
1853,"L-TH-1-186- Acquired Property for Sale in, Lot 52, Block 14, Camella Tarlac, Phase 2, Brgy. Maliwalo, Tarlac City, Tarlac",,,,40.0,48.0,Camella Tarlac,,,,1308000
